name,Sport,Pro league,Conference,Division,City,State,Founded,Championships,Last Championship,Stadium Name,Stadium Capacity,Head Coach
Arizona Diamondbacks,Baseball,MLB,National,West,Phoenix,Arizona,1998,1,2001,Chase Field,"48,519",Torey Lovullo
Arizona Diamondbacks,Baseball,MLB,National,West,Phoenix,Arizona,1998,1,2001,Chase Field,"48,519",Torey Lovullo
Atlanta Braves,Baseball,MLB,National,East,Atlanta,Georgia,1871,3,1995,SunTrust Park,"41,500",Brian Snitker
Baltimore Orioles,Baseball,MLB,American,East,Baltimore,Maryland,1901,3,1983,Oriole Park at Camden Yards,"45,971",Brandon Hyde
Boston Red Sox,Baseball,MLB,American,East,Boston,Massachusetts,1901,9,2018,Fenway Park,"37,949",Alex Cora
Chicago Cubs,Baseball,MLB,National,Central,Chicago,Illinois,1874,3,2016,Wrigley Field,"41,268",David Ross
Chicago White Sox,Baseball,MLB,American,Central,Chicago,Illinois,1901,3,2005,Guaranteed Rate Field,"40,615",Rick Renteria
Cincinnati Reds,Baseball,MLB,National,Central,Cincinnati,Ohio,1882,5,1990,Great American Ball Park,"42,319",David Bell
Cleveland Indians,Baseball,MLB,American,Central,Cleveland,Ohio,1901,2,2016,Progressive Field,"35,225",Terry Francona
Colorado Rockies,Baseball,MLB,National,West,Denver,Colorado,1993,0,,Coors Field,"50,398",Bud Black
Detroit Tigers,Baseball,MLB,American,Central,Detroit,Michigan,1901,4,2012,Comerica Park,"41,297",Ron Gardenhire
Houston Astros,Baseball,MLB,American,West,Houston,Texas,1962,1,2017,Minute Maid Park,"41,676",A. J. Hinch
Kansas City Royals,Baseball,MLB,American,Central,Kansas City,Missouri,1969,2,2015,Kauffman Stadium,"37,903",Mike Matheny
Los Angeles Angels,Baseball,MLB,American,West,Anaheim,California,1961,1,2002,Angel Stadium,"45,957",Joe Maddon
Los Angeles Dodgers,Baseball,MLB,National,West,Los Angeles,California,1884,6,2018,Dodger Stadium,"56,000",Dave Roberts
Miami Marlins,Baseball,MLB,National,East,Miami,Florida,1993,2,2003,Marlins Park,"36,742",Don Mattingly
Milwaukee Brewers,Baseball,MLB,National,Central,Milwaukee,Wisconsin,1969,0,,Miller Park,"41,900",Craig Counsell
Minnesota Twins,Baseball,MLB,American,Central,Minneapolis,Minnesota,1901,3,1991,Target Field,"38,871",Rocco Baldelli
New York Mets,Baseball,MLB,National,East,New York City,New York,1962,2,1986,Citi Field,"41,922",Carlos Beltrán
New York Yankees,Baseball,MLB,American,East,New York City,New York,1901,27,2009,Yankee Stadium,"49,638",Aaron Boone
Oakland Athletics,Baseball,MLB,American,West,Oakland,California,1901,9,1989,RingCentral Coliseum,"35,067",Bob Melvin
Philadelphia Phillies,Baseball,MLB,National,East,Philadelphia,Pennsylvania,1883,2,2008,Citizens Bank Park,"43,651",Joe Girardi
Pittsburgh Pirates,Baseball,MLB,National,Central,Pittsburgh,Pennsylvania,1882,5,1979,PNC Park,"38,362",
San Diego Padres,Baseball,MLB,National,West,San Diego,California,1969,0,,Petco Park,"40,162",Jayce Tingler
San Francisco Giants,Baseball,MLB,National,West,San Francisco,California,1883,8,2014,Oracle Park,"41,915",Gabe Kapler
Seattle Mariners,Baseball,MLB,American,West,Seattle,Washington,1977,0,,T-Mobile Park,"47,943",Scott Servais
St. Louis Cardinals,Baseball,MLB,National,Central,St. Louis,Missouri,1882,11,2011,Busch Stadium,"43,975",Mike Shildt
Tampa Bay Rays,Baseball,MLB,American,East,St. Petersburg,Florida,1998,0,,Tropicana Field,"31,042",Kevin Cash
Texas Rangers,Baseball,MLB,American,West,Arlington,Texas,1961,0,,Globe Life Field,"48,114",Chris Woodward
